plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.648,,,147.7,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.647,,,143.8,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,0.667,,,143.2,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 b,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,1.07E+01,,0.393,16.4,,65.5,39.4,1,92.76421,-35.5750779,,,,,,,,
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,7.61,8.28E+00,7.28E+00,6.90E+00,4.527,740,,140.3,156.7,1,350.87063,22.6810591,6.92,6.93,6.9,6.91,1.52E+01,14.55,1.42E+01,1.38E+01
HIP 78530 b,16:01:55.46,240.481064,-21:58:49.4,-21.9803886,7.61,8.28E+00,7.28E+00,6.90E+00,4.527,740,,140.3,156.7,1,350.87063,22.6810591,6.92,6.93,6.9,6.91,1.52E+01,14.55,1.42E+01,1.38E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.20E+00,0.6,55.7,,150.9,90.4,1,292.80292,-8.075282,,,,,,,,1.63E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,13.1,,,,0.633,,,150.6,,1,292.80292,-8.075282,,,,,,20.07,,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,13.1,,,,0.633,,,150.6,,1,292.80292,-8.075282,,,,,,20.07,,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,1.21E+01,,0.623,,,151.4,,1,292.80292,-8.075282,,,,,,,1.89E+01,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,1.21E+01,,0.623,,,151.4,,1,292.80292,-8.075282,,,,,,,1.89E+01,
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.48E+00,0.624,,,151.8,,1,292.80292,-8.075282,,,,,,,,1.62E+01
HD 95086 b,10:57:03.02,164.262589,-68:40:02.4,-68.6673431,,,,9.48E+00,0.624,,,151.8,,1,292.80292,-8.075282,,,,,,,,1.62E+01
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 c,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 d,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HR 8799 e,23:07:28.72,346.869659,+21:08:03.3,21.1342506,,,,,,,,,39.4,1,92.76421,-35.5750779,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
HD 106906 b,12:17:53.19,184.471634,-55:58:31.9,-55.9755249,,,,,7.1,,,,102.8,2,298.21888,6.5889667,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.323,9.1,,209.3,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.407,9.1,,212.9,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.452,9.1,,211.6,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.455,9.1,,209.3,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.448,9.1,,211.8,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.447,9.1,,210.8,19.4,1,258.36388,-30.6116321,,,,,,,,
bet Pic b,05:47:17.08,86.8211975,-51:03:59.4,-51.0665131,,,,,0.461,9.1,,211.9,19.4,1,258.36388,-30.6116321,,,,,,,,
2MASS J01033563-5515561 AB b,01:03:35.63,15.8984583,-55:15:56.1,-55.2655833,,,,,1.784,84,,339.3,47.2,2,299.26975,-61.7760661,10.73,10.15,9.81,,1.54E+01,14.2,1.36E+01,1.26E+01
