pl_name,rastr,ra,decstr,dec,pl_massj,pl_masse,pl_orbsmax,st_mass,sy_dist,ml_dists,ml_tsepmin,ml_sepminnorm,ml_xtimeein,ml_radsnorm,ml_sepinsnorp,ml_massratio,ml_angstlax,ml_magis,ml_magibl,ml_radeinang,ml_pmrells,glon,glat,ml_plxrel,ml_plxmicro,ml_plxmicron,ml_plxmicroe,ml_dsdt,ml_dalphadt,ml_radsang,ml_radsphy,ml_xtimesrc,ml_efftime,ml_pms,ml_magvs,ml_magvso,ml_magiso,ml_magjs,ml_magjso,ml_maghs,ml_maghso,ml_magks,ml_magkso,ml_magibase,sy_vmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,ml_extvfld,ml_extifld,ml_extjfld,ml_exthfld,ml_extkfld
KMT-2019-BLG-1552L b,17h58m22.99s,269.595792,-27d34m00.98s,-27.566939,,,,,,,2458715.069,0.215,110.4,17,0.78,46.4,1.778,20.36,,0.039,0.13,2.61115,-1.71979,,,0.11,0.082,,,0.66,,,,,,,18.3,,,,,,,,,,,,,,,,,
KMT-2021-BLG-1372L b,17h37m57.25s,264.488542,-28d08m54.20s,-28.148389,0.19636382,62.41,2.45,0.42,5970,,2459388.757,0.075,70.665,4.2,1.011,4.419,4.896,21.9,,,0.84,359.78034,1.84567,,,,,,,0.692,,0.3,,,,,18.39,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1552L b,17h58m22.99s,269.595792,-27d34m00.98s,-27.566939,,,,,,,2458714.249,0.194,116.2,16,0.789,43.2,1.819,20.36,,0.039,0.13,2.61115,-1.71979,,,,,,,0.66,,,,,,,18.3,,,,,,,,,,,,,,,,,
KMT-2017-BLG-1003L b,17h41m38.76s,265.4115,-24d22m26.18s,-24.373939,0.01170443,3.72,1.25,0.27,7160,,2457872.482,0.179,25.66,5.22,0.9096,0.4236,1.072,19.3,,0.18,2.75,3.42241,3.14652,,,,,,,0.942,,,,,,,17.6,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1806L b,18h02m09.01s,270.537542,-29d24m53.60s,-29.414889,0.01406419,4.47,2.85,0.74,6630,,2458715.451,-0.0251,138.5,1.8,0.9383,0.1845,-2.147,21.35,,0.19,1.11,1.41436,-3.35396,,,-0.066,-0.059,,,0.345,,,,,,,19.95,,,,,,,,,,,,,,,,,
KMT-2019-BLG-1042L b,18h02m10.57s,270.544042,-27d34m50.41s,-27.580669,,,,,,,2458637.135,0.076,11.21,1.29,1.017,62.9,3.749,21.69,,0.333,10.8,3.01617,-2.4566,,,,,,,0.429,,,,,,,19.99,,,,,,,,,,,,,,,,,
MOA-2007-BLG-400L b,18h09m41.980s,272.424917,-29d13m26.95s,-29.224153,1.7,540.3082919,0.79,0.69,6890,,2454354.581,-0.00026,13.36,,0.366,23.9,-0.815,18.39,,0.322,8.77,2.38132,-4.70081,,,,,,,,,0.04711,,,19.99,,,,,16.58,,16.43,,,,,,,,,,,,
KMT-2019-BLG-0253L b,17h51m31.82s,267.882583,-29d33m55.7s,-29.565472,0.02894644,9.2,3.1,0.7,4900,,2458590.562,0.0538,58.77,0.0045,0.9289,0.407,1.023,19.8,,0.23,4.7,0.12563,-1.42905,,,-0.55,0.028,,,1.05,,,,,,,17.29,,,,,,,,,,,,,,,,,
KMT-2016-BLG-1105L b,17h45m47.34s,266.44725,-26d15m58.93s,-26.266369,0.02992181,9.51,2.56,0.44,5280,,2457555.781,0.154,42.4,5.5,1.106,0.6546,3.831,21.22,,0.13,4.11,2.29896,1.35832,,,,,,,0.696,,,,,,,18.41,,,,,,,,,,,,,,,,,
KMT-2019-BLG-0253L b,17h51m31.82s,267.882583,-29d33m55.7s,-29.565472,0.02894644,9.2,3.1,0.7,4900,,2458590.581,0.0559,56.66,0.0045,1.0092,0.41,1.0223,19.8,,0.23,4.7,0.12563,-1.42905,,,,,,,1.05,,,,,,,17.29,,,,,,,,,,,,,,,,,
